USER: 
CREATED_AT: 2020-05-12T00:52:58.272170
PASSWORD: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DELETED_AT: ----------

sign up, 2020-05-12T00:52:58.323512,  user created
Button Pressed, 2020-05-12T00:53:00.779504, Collections
Button Pressed, 2020-05-12T00:53:08.161419, Goldshire Footman
Button Pressed, 2020-05-12T00:53:12.029906, New Deck
Create New Deck, 2020-05-12T00:53:12.033013, New Deck 1
Button Pressed, 2020-05-12T00:53:14.313483, New Deck 1
Button Pressed, 2020-05-12T00:53:20.355743, Main Menu
Button Pressed, 2020-05-12T00:53:27.682234, Log Out
log out, 2020-05-12T00:53:27.685751, log out of 
system response, 2020-05-12T00:53:27.695278, Signed out of user 
