USER: aaa
CREATED_AT: 2020-05-02T16:42:05.161423800
PASSWORD: 9834876dcfb05cb167a5c24953eba58c4ac89b1adf57f28f2f9d09af107ee8f0
DELETED_AT: ----------

sign up, 2020-05-02T16:42:05.237311900, aaa user created
quit, 2020-05-02T16:45:25.885606600, quit the game
login, 2020-05-02T16:45:38.542728200,  as aaa
quit, 2020-05-02T16:46:51.011314300, quit the game
login, 2020-05-02T16:46:56.829731100,  as aaa
quit, 2020-05-02T16:48:29.527128800, quit the game
login, 2020-05-02T16:48:41.236856,  as aaa
login, 2020-05-02T16:50:09.761946100,  as aaa
quit, 2020-05-02T16:56:42.634638, quit the game
quit, 2020-05-02T16:56:44.612590, quit the game
login, 2020-05-02T16:56:52.446157400,  as aaa
login, 2020-05-02T16:56:57.697612800,  as aaa
quit, 2020-05-02T16:56:58.457748500, quit the game
login, 2020-05-02T16:59:08.679998200,  as aaa
quit, 2020-05-02T17:02:14.663836600, quit the game
login, 2020-05-02T17:02:26.378129100,  as aaa
quit, 2020-05-02T17:03:01.575641900, quit the game
login, 2020-05-02T17:03:31.793114100,  as aaa
quit, 2020-05-02T17:04:40.753819700, quit the game
