USER: c
CREATED_AT: 2020-04-30T15:00:59.822005100
PASSWORD: 2e7d2c03a9507ae265ecf5b5356885a53393a2029d241394997265a1a25aefc6
DELETED_AT: ----------

sign up, 2020-04-30T15:00:59.959399100, c user created
quit, 2020-04-30T15:01:12.274949600, quit the game
login, 2020-04-30T15:01:26.250419,  as c
quit, 2020-04-30T15:02:14.631649600, quit the game
login, 2020-04-30T15:02:56.115907,  as c
quit, 2020-04-30T15:03:15.200624700, quit the game
login, 2020-04-30T15:04:38.589990800,  as c
quit, 2020-04-30T15:04:41.448188700, quit the game
login, 2020-04-30T15:06:09.237193200,  as c
login, 2020-04-30T15:07:13.021099,  as c
quit, 2020-04-30T15:07:19.879070500, quit the game
login, 2020-04-30T15:08:35.560284500,  as c
quit, 2020-04-30T15:08:38.164387700, quit the game
login, 2020-04-30T15:12:30.513963200,  as c
quit, 2020-04-30T15:12:32.203885500, quit the game
login, 2020-04-30T15:13:23.269114500,  as c
